date,rental
2021-01-01,29581.367617187498
2021-01-02,27403.216875
2021-01-03,26575.6940625
2021-01-04,29343.6420703125
2021-01-05,28549.360390625
2021-01-06,20181.059921875
2021-01-07,26795.966875
2021-01-08,28859.433203125
2021-01-09,26530.7588671875
2021-01-10,26357.4799609375
2021-01-11,28262.950546875
2021-01-12,23481.372929687503
2021-01-13,48353.8896875
2021-01-14,50040.964453125
2021-01-15,49088.46546875
2021-01-16,28748.7326953125
2021-01-17,26286.6286328125
2021-01-18,26035.771601562497
2021-01-19,30125.6196484375
2021-01-20,44088.193515625
2021-01-21,40070.6517578125
2021-01-22,49403.893515625
2021-01-23,54016.337578125
2021-01-24,57861.595390625
2021-01-25,58628.62765625
2021-01-26,49716.579453125
2021-01-27,50803.693671875
2021-01-28,20378.336328125
2021-01-29,29032.5271484375
2021-01-30,37220.48515625
2021-01-31,44651.571015625
2021-02-01,50717.7196875
2021-02-02,27619.521953125
2021-02-03,23806.3570703125
2021-02-04,30069.5571484375
2021-02-05,50960.056953125
2021-02-06,48110.743671874996
2021-02-07,44054.981015625
2021-02-08,29224.704960937503
2021-02-09,46728.504296875
2021-02-10,53386.35625
2021-02-11,58559.460546875
2021-02-12,61480.32171875
2021-02-13,64218.352109375
2021-02-14,57659.4171875
2021-02-15,40936.11859375
2021-02-16,27093.845468749998
2021-02-17,28314.925
2021-02-18,29224.194218750003
2021-02-19,43842.530390625005
2021-02-20,65913.0796875
2021-02-21,71242.391875
2021-02-22,57018.334453125004
2021-02-23,51130.573749999996
2021-02-24,52820.9259375
2021-02-25,55581.941953125
2021-02-26,66280.0590625
2021-02-27,72332.82921875
2021-02-28,52103.755703125
2021-03-01,37242.5380078125
2021-03-02,56638.19125
2021-03-03,60272.979296875
2021-03-04,60811.26375
2021-03-05,70191.15859375
2021-03-06,57698.482890625004
2021-03-07,60360.63375
2021-03-08,65796.26906250001
2021-03-09,63906.45796875
2021-03-10,68251.4425
2021-03-11,67663.09296875
2021-03-12,64239.949296875
2021-03-13,62149.23953125
2021-03-14,61817.13921875
2021-03-15,55562.036796875
2021-03-16,63748.985234374995
2021-03-17,71059.81921875
2021-03-18,70270.979375
2021-03-19,79126.05296875001
2021-03-20,42141.913828125005
2021-03-21,46950.582109375
2021-03-22,64517.59578125
2021-03-23,68835.783125
2021-03-24,67420.80078125
2021-03-25,73313.01625
2021-03-26,68325.1303125
2021-03-27,36640.697265625
2021-03-28,28216.969296875
2021-03-29,57992.469296875
2021-03-30,73687.51140625
2021-03-31,82306.2103125
2021-04-01,85307.67390625
2021-04-02,79815.9659375
2021-04-03,24076.3652734375
2021-04-04,63493.137109375
2021-04-05,76352.88375000001
2021-04-06,84961.24390624999
2021-04-07,83431.61796875
2021-04-08,80838.638125
2021-04-09,84448.604375
2021-04-10,80011.503125
2021-04-11,85836.6221875
2021-04-12,33651.148046875
2021-04-13,45759.034765625
2021-04-14,71317.11078125
2021-04-15,78565.4246875
2021-04-16,60766.03390625
2021-04-17,61864.889765625005
2021-04-18,72153.263125
2021-04-19,79094.386875
2021-04-20,86190.7415625
2021-04-21,86949.88546875
2021-04-22,82879.480625
2021-04-23,79193.4121875
2021-04-24,82240.8909375
2021-04-25,89470.1178125
2021-04-26,87813.94125
2021-04-27,66018.612890625
2021-04-28,57409.227578125
2021-04-29,62688.1246875
2021-04-30,36399.7978125
2021-05-01,39490.201406249995
2021-05-02,80030.00687499999
2021-05-03,90899.08937500001
2021-05-04,28448.809453125003
2021-05-05,86840.32625
2021-05-06,90995.71140624999
2021-05-07,59407.170078125
2021-05-08,89670.56296874999
2021-05-09,89527.489375
2021-05-10,73663.34078125001
2021-05-11,96368.195625
2021-05-12,98189.00625
2021-05-13,100617.59546874999
2021-05-14,100712.4746875
2021-05-15,50008.75484375
2021-05-16,15436.76884765625
2021-05-17,44868.814765625
2021-05-18,96166.1946875
2021-05-19,96661.96890625
2021-05-20,80587.3078125
2021-05-21,52585.837734375
2021-05-22,95559.47640625
2021-05-23,96424.16187499999
2021-05-24,98985.00703125
2021-05-25,64105.088515625
2021-05-26,94229.41828125
2021-05-27,50051.249296875
2021-05-28,58589.95703125
2021-05-29,82811.41828125
2021-05-30,67616.789375
2021-05-31,70689.55328125
2021-06-01,70641.18921874999
2021-06-02,104953.014375
2021-06-03,40357.43125
2021-06-04,100754.01953125
2021-06-05,102468.9725
2021-06-06,102991.00046874999
2021-06-07,102845.61328125
2021-06-08,106697.29265625
2021-06-09,101959.0571875
2021-06-10,63581.57953125
2021-06-11,68414.16500000001
2021-06-12,102422.31468750001
2021-06-13,100446.914375
2021-06-14,104078.2903125
2021-06-15,79287.86624999999
2021-06-16,107417.03515625
2021-06-17,102569.15984375
2021-06-18,37450.082265624995
2021-06-19,104580.669375
2021-06-20,101701.50109375
2021-06-21,105860.38718749999
2021-06-22,105524.35171875
2021-06-23,69159.25
2021-06-24,106273.51171875
2021-06-25,105225.0990625
2021-06-26,70905.845625
2021-06-27,65036.056874999995
2021-06-28,98373.40484375
2021-06-29,70953.9203125
2021-06-30,76489.33578125
2021-07-01,102867.93703125001
2021-07-02,92746.66671875
2021-07-03,57519.37046875
2021-07-04,17243.01302734375
2021-07-05,94403.0596875
2021-07-06,103646.92328125
2021-07-07,57002.7234375
2021-07-08,70518.90953125
2021-07-09,88739.40625
2021-07-10,79395.81687499999
2021-07-11,67546.73015625
2021-07-12,93439.50984375
2021-07-13,86002.62593750001
2021-07-14,86198.34937499999
2021-07-15,86735.02140625
