date,rental
2021-01-01,24991.97
2021-01-02,24278.48
2021-01-03,24325.95
2021-01-04,26783.7
2021-01-05,24282.54
2021-01-06,21212.3
2021-01-07,23446.11
2021-01-08,24422.31
2021-01-09,24431.82
2021-01-10,27126.29
2021-01-11,23746.89
2021-01-12,16790.25
2021-01-13,25379.37
2021-01-14,25443.59
2021-01-15,23847.36
2021-01-16,23821.39
2021-01-17,24301.63
2021-01-18,18954.23
2021-01-19,24666.9
2021-01-20,26214.76
2021-01-21,15328.42
2021-01-22,17894.93
2021-01-23,29967.24
2021-01-24,39441.65
2021-01-25,39843.12
2021-01-26,14949.74
2021-01-27,25769.01
2021-01-28,17783.18
2021-01-29,23259.53
2021-01-30,21387.02
2021-01-31,27730.69
2021-02-01,21657.67
2021-02-02,23572.99
2021-02-03,19874.25
2021-02-04,20774.78
2021-02-05,23339.22
2021-02-06,29063.68
2021-02-07,25635.83
2021-02-08,25203.05
2021-02-09,23813.6
2021-02-10,23763.95
2021-02-11,33690.95
2021-02-12,38639.68
2021-02-13,46501.07
2021-02-14,39016.07
2021-02-15,18240.83
2021-02-16,17782.19
2021-02-17,23015.24
2021-02-18,24059.9
2021-02-19,27125.59
2021-02-20,44782.81
2021-02-21,59780.04
2021-02-22,30280.25
2021-02-23,26003.87
2021-02-24,32983.58
2021-02-25,27124.48
2021-02-26,52837.83
2021-02-27,60570.25
2021-02-28,34532.52
2021-03-01,33791.56
2021-03-02,46438.36
2021-03-03,42601.1
2021-03-04,42997.16
2021-03-05,61375.67
2021-03-06,41916.18
2021-03-07,50636.68
2021-03-08,48887.33
2021-03-09,42891.63
2021-03-10,55210.72
2021-03-11,53440.34
2021-03-12,43400.03
2021-03-13,45938.57
2021-03-14,46642.18
2021-03-15,45615.0
2021-03-16,49127.33
2021-03-17,61881.01
2021-03-18,60627.15
2021-03-19,79674.48
2021-03-20,39869.82
2021-03-21,34416.34
2021-03-22,47972.7
2021-03-23,63188.74
2021-03-24,61844.75
2021-03-25,70910.95
2021-03-26,59732.46
2021-03-27,28214.42
2021-03-28,30662.48
2021-03-29,47439.39
2021-03-30,67785.18
2021-03-31,74917.43
2021-04-01,88448.99
2021-04-02,83345.05
2021-04-03,30233.83
2021-04-04,66079.24
2021-04-05,77122.9
2021-04-06,86218.48
2021-04-07,85643.21
2021-04-08,77566.11
2021-04-09,84810.84
2021-04-10,79600.42
2021-04-11,84595.94
2021-04-12,33030.07
2021-04-13,49323.75
2021-04-14,65808.22
2021-04-15,75141.38
2021-04-16,56464.84
2021-04-17,56140.03
2021-04-18,72751.43
2021-04-19,78740.41
2021-04-20,84512.41
2021-04-21,85410.42
2021-04-22,82584.82
2021-04-23,83197.32
2021-04-24,83568.99
2021-04-25,88757.16
2021-04-26,89622.4
2021-04-27,78688.89
2021-04-28,55960.81
2021-04-29,61790.14
2021-04-30,39997.84
2021-05-01,40895.75
2021-05-02,83147.03
2021-05-03,92013.93
2021-05-04,32694.2
2021-05-05,87543.5
2021-05-06,90660.46
2021-05-07,58423.55
2021-05-08,89595.36
2021-05-09,91228.2
2021-05-10,68838.68
2021-05-11,94828.97
